item_name,text,type,answers,values,btn_width,score:neuroticism,score:anxiety,score:anger,score:depression,score:self_consciousness,score:immoderation,score:vulnerability,shuffle_question,
IPIPNEO_N4_6,Am afraid that I will do the wrong thing.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|31,100px,1,,,,1,,,yes,
IPIPNEO_N4_7,Stumble over my words.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|32,100px,1,,,,1,,,yes,
IPIPNEO_N4_8,Am not embarrassed easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|33,100px,r1,,,,r1,,,yes,
IPIPNEO_N4_9,Am comfortable in unfamiliar situations.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|34,100px,r1,,,,r1,,,yes,
IPIPNEO_N4_10,Am able to stand up for myself.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|35,100px,r1,,,,r1,,,yes,
IPIPNEO_N5_1,Go on binges.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|36,100px,1,,,,,1,,yes,
IPIPNEO_N5_2,Rarely overindulge.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|37,100px,r1,,,,,r1,,yes,
IPIPNEO_N5_3,Easily resist temptations.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|38,100px,r1,,,,,r1,,yes,
IPIPNEO_N5_4,Am able to control my cravings.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|39,100px,r1,,,,,r1,,yes,
IPIPNEO_N5_5,Often eat too much.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|40,100px,1,,,,,1,,yes,
IPIPNEO_N5_6,Don't know why I do some of the things I do.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|41,100px,1,,,,,1,,yes,
IPIPNEO_N5_7,Do things I later regret.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|42,100px,1,,,,,1,,yes,
IPIPNEO_N5_8,Love to eat.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|43,100px,1,,,,,1,,yes,
IPIPNEO_N5_9,Never spend more than I can afford.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|44,100px,r1,,,,,r1,,yes,
IPIPNEO_N5_10,Never splurge.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|45,100px,r1,,,,,r1,,yes,
IPIPNEO_N6_1,Panic easily.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|46,100px,1,,,,,,1,yes,
IPIPNEO_N6_2,Become overwhelmed by events.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|47,100px,1,,,,,,1,yes,
IPIPNEO_N6_3,Feel that I'm unable to deal with things.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|48,100px,1,,,,,,1,yes,
IPIPNEO_N6_4,Remain calm under pressure.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|49,100px,r1,,,,,,r1,yes,
IPIPNEO_N6_5,Can't make up my mind.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|50,100px,1,,,,,,1,yes,
IPIPNEO_N6_6,Get overwhelmed by emotions.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|51,100px,1,,,,,,1,yes,
IPIPNEO_N6_7,Can handle complex problems.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|52,100px,r1,,,,,,r1,yes,
IPIPNEO_N6_8,Know how to cope.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|53,100px,r1,,,,,,r1,yes,
IPIPNEO_N6_9,Readily overcome setbacks.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|54,100px,r1,,,,,,r1,yes,
IPIPNEO_N6_10,Am calm even in tense situations.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|55,100px,r1,,,,,,r1,yes,
,,,,,,,,,,,,,,
