item_name,text,type,answers,values,btn_width,score:extraversion,score:friendliness,score:gregariousness,score:assertiveness,score:activity_level,score:excitement_seeking,score:cheerfulness,shuffle_question,
IPIPNEO_E4_7,Like to take my time.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,r1,,,yes,
IPIPNEO_E4_8,Like a leisurely lifestyle.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,r1,,,yes,
IPIPNEO_E4_9,Let things proceed at their own pace.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,r1,,,yes,
IPIPNEO_E4_10,"React slowly. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,r1,,,yes,
IPIPNEO_E5_1,Love excitement.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_2,Seek adventure.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_3,Enjoy being reckless.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_4,Act wild and crazy.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_5,Love action.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_6,Enjoy being part of a loud crowd.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_7,"Willing to try anything once. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_8,Seek danger.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,1,,yes,
IPIPNEO_E5_9,Would never go hang gliding or bungee jumping.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,,r1,,yes,
IPIPNEO_E5_10,"Dislike loud music ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,,r1,,yes,
IPIPNEO_E6_1,Radiate joy.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_2,"Have a lot of fun. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_3,Love life.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_4,"Look at the bright side of life. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_5,Express childlike joy.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_6,"Laugh my way through life. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_7,"Laugh aloud,",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_8,Amuse my friends.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,1,,,,,,1,yes,
IPIPNEO_E6_9,Am not easily amused.,likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,,,r1,yes,
IPIPNEO_E6_10,"Seldom joke around. ",likert,Very Inaccurate|Moderately Inaccurate|Neither|Moderately Accurate|Very Accurate,1|2|3|4|5,100px,r1,,,,,,r1,yes,
,,,,,,,,,,,,,,
