video,audio,video_file,audio_file,user_id,Video,Audio,Congruent,
1029_IEO_FEA_MD-converted.mp4,1029_TSI_HAP_XX.wav,../User/Stimuli/video/1029_IEO_FEA_MD-converted.mp4,../User/Stimuli/1029_TSI_HAP_XX.wav,1029,Fear,Happiness,incongruent,
1003_IEO_FEA_MD-converted.mp4,1003_TSI_SAD_XX.wav,../User/Stimuli/video/1003_IEO_FEA_MD-converted.mp4,../User/Stimuli/1003_TSI_SAD_XX.wav,1003,Fear,Sad,incongruent,
1003_IEO_HAP_MD-converted.mp4,1003_TSI_ANG_XX.wav,../User/Stimuli/video/1003_IEO_HAP_MD-converted.mp4,../User/Stimuli/1003_TSI_ANG_XX.wav,1003,Happiness,Anger,incongruent,
1072_IEO_HAP_MD-converted.mp4,1072_TIS_DIS_XX.wav,../User/Stimuli/video/1072_IEO_HAP_MD-converted.mp4,../User/Stimuli/1072_TIS_DIS_XX.wav,1072,Happiness,Disgust,incongruent,
1018_IEO_HAP_HI-converted.mp4,1018_TSI_FEA_XX.wav,../User/Stimuli/video/1018_IEO_HAP_HI-converted.mp4,../User/Stimuli/1018_TSI_FEA_XX.wav,1018,Happiness,Fear,incongruent,
1029_IEO_HAP_MD-converted.mp4,1029_TSI_SAD_XX.wav,"../User/Stimuli/video/
1029_IEO_HAP_MD-converted.mp4",../User/Stimuli/1029_TSI_SAD_XX.wav,1029,Happiness,Sad,incongruent,
1029_IEO_SAD_MD-converted.mp4,1029_TSI_ANG_XX.wav,"../User/Stimuli/video/
1029_IEO_SAD_MD-converted.mp4",../User/Stimuli/1029_TSI_ANG_XX.wav,1029,Sad,Anger,incongruent,
1003_IEO_SAD_MD-converted.mp4,1003_TSI_DIS_XX.wav,../User/Stimuli/video/1003_IEO_SAD_MD-converted.mp4,../User/Stimuli/1003_TSI_DIS_XX.wav,1003,Sad,Disgust,incongruent,
1072_IEO_SAD_MD-converted.mp4,1072_TSI_FEA_XX.wav,../User/Stimuli/video/1072_IEO_SAD_MD-converted.mp4,../User/Stimuli/1072_TSI_FEA_XX.wav,1072,Sad,Fear,incongruent,
"
1018_IEO_SAD_MD-converted.mp4",1018_TSI_HAP_XX.wav,"../User/Stimuli/video/
1018_IEO_SAD_MD-converted.mp4",../User/Stimuli/1018_TSI_HAP_XX.wav,1018,Sad,Happiness,incongruent,
1031_IEO_ANG_MD-converted.mp4,1031_TSI_DIS_XX.wav,../User/Stimuli/video/1031_IEO_ANG_MD-converted.mp4,../User/Stimuli/1031_TSI_DIS_XX.wav,1031,Anger,Disgust,incongruent,
1032_IEO_ANG_MD-converted.mp4,1032_TSI_FEA_XX.wav,../User/Stimuli/video/1032_IEO_ANG_MD-converted.mp4,../User/Stimuli/1032_TSI_FEA_XX.wav,1032,Anger,Fear,incongruent,
1014_IEO_ANG_MD-converted.mp4,1014_TSI_HAP_XX.wav,../User/Stimuli/video/1014_IEO_ANG_MD-converted.mp4,../User/Stimuli/1014_TSI_HAP_XX.wav,1014,Anger,Happiness,incongruent,
1045_IEO_ANG_MD-converted.mp4,1045_TSI_SAD_XX.wav,../User/Stimuli/video/1045_IEO_ANG_MD-converted.mp4,../User/Stimuli/1045_TSI_SAD_XX.wav,1045,Anger,Sad,incongruent,
1045_IEO_DIS_MD-converted.mp4,1045_TSI_ANG_XX.wav,../User/Stimuli/video/1045_IEO_DIS_MD-converted.mp4,../User/Stimuli/1045_TSI_ANG_XX.wav,1045,Disgust,Anger,incongruent,
1031_IEO_DIS_HI-converted.mp4,1031_TSI_FEA_XX.wav,../User/Stimuli/video/1031_IEO_DIS_HI-converted.mp4,../User/Stimuli/1031_TSI_FEA_XX.wav,1031,Disgust,Fear,incongruent,
"
1032_IEO_DIS_HI-converted.mp4",1032_TSI_HAP_XX.wav,"../User/Stimuli/video/
1032_IEO_DIS_HI-converted.mp4",../User/Stimuli/1032_TSI_HAP_XX.wav,1032,Disgust,Happiness,incongruent,
1014_IEO_DIS_MD-converted.mp4,1014_TSI_SAD_XX.wav,../User/Stimuli/video/1014_IEO_DIS_MD-converted.mp4,../User/Stimuli/1014_TSI_SAD_XX.wav,1014,Disgust,Sad,incongruent,
1014_IEO_FEA_HI-converted.mp4,1014_TSI_ANG_XX.wav,../User/Stimuli/video/1014_IEO_FEA_HI-converted.mp4,../User/Stimuli/1014_TSI_ANG_XX.wav,1014,Fear,Anger,incongruent,
1045_IEO_FEA_MD-converted.mp4,1045_TSI_DIS_XX.wav,../User/Stimuli/video/1045_IEO_FEA_MD-converted.mp4,../User/Stimuli/1045_TSI_DIS_XX.wav,1045,Fear,Disgust,incongruent,
1031_IEO_FEA_HI-converted.mp4,1031_TSI_HAP_XX.wav,../User/Stimuli/video/1031_IEO_FEA_HI-converted.mp4,../User/Stimuli/1031_TSI_HAP_XX.wav,1031,Fear,Happiness,incongruent,
1032_IEO_FEA_HI-converted.mp4,1032_TSI_SAD_XX.wav,../User/Stimuli/video/1032_IEO_FEA_HI-converted.mp4,../User/Stimuli/1032_TSI_SAD_XX.wav,1032,Fear,Sad,incongruent,
1032_IEO_HAP_MD-converted.mp4,1032_TSI_ANG_XX.wav,../User/Stimuli/video/1032_IEO_HAP_MD-converted.mp4,../User/Stimuli/1032_TSI_ANG_XX.wav,1032,Happiness,Anger,incongruent,
1014_IEO_HAP_MD-converted.mp4,1014_TSI_DIS_XX.wav,../User/Stimuli/video/1014_IEO_HAP_MD-converted.mp4,../User/Stimuli/1014_TSI_DIS_XX.wav,1014,Happiness,Disgust,incongruent,
1045_IEO_HAP_HI-converted.mp4,1045_TSI_FEA_XX.wav,../User/Stimuli/video/1045_IEO_HAP_HI-converted.mp4,../User/Stimuli/1045_TSI_FEA_XX.wav,1045,Happiness,Fear,incongruent,
1031_IEO_HAP_HI-converted.mp4,1031_TSI_SAD_XX.wav,../User/Stimuli/video/1031_IEO_HAP_HI-converted.mp4,../User/Stimuli/1031_TSI_SAD_XX.wav,1031,Happiness,Sad,incongruent,
1031_IEO_SAD_HI-converted.mp4,1031_TSI_ANG_XX.wav,../User/Stimuli/video/1031_IEO_SAD_HI-converted.mp4,../User/Stimuli/1031_TSI_ANG_XX.wav,1031,Sad,Anger,incongruent,
1032_IEO_SAD_MD-converted.mp4,1032_TSI_DIS_XX.wav,../User/Stimuli/video/1032_IEO_SAD_MD-converted.mp4,../User/Stimuli/1032_TSI_DIS_XX.wav,1032,Sad,Disgust,incongruent,
1014_IEO_SAD_MD-converted.mp4,1014_TSI_FEA_XX.wav,../User/Stimuli/video/1014_IEO_SAD_MD-converted.mp4,../User/Stimuli/1014_TSI_FEA_XX.wav,1014,Sad,Fear,incongruent,
1045_IEO_SAD_MD-converted.mp4,1045_TSI_HAP_XX.wav,../User/Stimuli/video/1045_IEO_SAD_MD-converted.mp4,../User/Stimuli/1045_TSI_HAP_XX.wav,1045,Sad,Happiness,incongruent,
1018_IEO_ANG_MD-converted.mp4,1018_TSI_ANG_XX.wav,../User/Stimuli/video/1018_IEO_ANG_MD-converted.mp4,../User/Stimuli/1018_TSI_ANG_XX.wav,1018,Anger,Anger,congruent,
1029_IEO_ANG_MD-converted.mp4,1029_TSI_ANG_XX.wav,../User/Stimuli/video/1029_IEO_ANG_MD-converted.mp4,../User/Stimuli/1029_TSI_ANG_XX.wav,1029,Anger,Anger,congruent,
1003_IEO_ANG_MD-converted.mp4,1003_TSI_ANG_XX.wav,../User/Stimuli/video/1003_IEO_ANG_MD-converted.mp4,../User/Stimuli/1003_TSI_ANG_XX.wav,1003,Anger,Anger,congruent,
1072_IEO_ANG_MD-converted.mp4,1072_TSI_ANG_XX.wav,../User/Stimuli/video/1072_IEO_ANG_MD-converted.mp4,../User/Stimuli/1072_TSI_ANG_XX.wav,1072,Anger,Anger,congruent,
1072_IEO_DIS_MD-converted.mp4,1072_TSI_DIS_XX.wav,../User/Stimuli/video/1072_IEO_DIS_MD-converted.mp4,../User/Stimuli/1072_TSI_DIS_XX.wav,1072,Disgust,Disgust,congruent,
1018_IEO_DIS_HI-converted.mp4,1018_TSI_DIS_XX.wav,../User/Stimuli/video/1018_IEO_DIS_HI-converted.mp4,../User/Stimuli/1018_TSI_DIS_XX.wav,1018,Disgust,Disgust,congruent,
1029_IEO_DIS_MD-converted.mp4,1029_TSI_DIS_XX.wav,../User/Stimuli/video/1029_IEO_DIS_MD-converted.mp4,../User/Stimuli/1029_TSI_DIS_XX.wav,1029,Disgust,Disgust,congruent,
1003_IEO_DIS_MD-converted.mp4,1003_TSI_DIS_XX.wav,../User/Stimuli/video/1003_IEO_DIS_MD-converted.mp4,../User/Stimuli/1003_TSI_DIS_XX.wav,1003,Disgust,Disgust,congruent,
1003_IEO_FEA_MD-converted.mp4,1003_TSI_FEA_XX.wav,../User/Stimuli/video/1003_IEO_FEA_MD-converted.mp4,../User/Stimuli/1003_TSI_FEA_XX.wav,1003,Fear,Fear,congruent,
1072_IEO_FEA_MD-converted.mp4,1072_TSI_FEA_XX.wav,../User/Stimuli/video/1072_IEO_FEA_MD-converted.mp4,../User/Stimuli/1072_TSI_FEA_XX.wav,1072,Fear,Fear,congruent,
"
1018_IEO_FEA_MD-converted.mp4","
1018_TSI_FEA_XX.wav","../User/Stimuli/video/
1018_IEO_FEA_MD-converted.mp4","../User/Stimuli/
1018_TSI_FEA_XX.wav",1018,Fear,Fear,congruent,
1029_IEO_FEA_MD-converted.mp4,1029_TSI_FEA_XX.wav,../User/Stimuli/video/1029_IEO_FEA_MD-converted.mp4,../User/Stimuli/1029_TSI_FEA_XX.wav,1029,Fear,Fear,congruent,
"
1029_IEO_HAP_MD-converted.mp4","
1029_TSI_HAP_XX.wav","../User/Stimuli/video/
1029_IEO_HAP_MD-converted.mp4","../User/Stimuli/
1029_TSI_HAP_XX.wav",1029,Happiness,Happiness,congruent,
1003_IEO_HAP_MD-converted.mp4,1003_TSI_HAP_XX.wav,../User/Stimuli/video/1003_IEO_HAP_MD-converted.mp4,../User/Stimuli/1003_TSI_HAP_XX.wav,1003,Happiness,Happiness,congruent,
1072_IEO_HAP_MD-converted.mp4,1072_TSI_HAP_XX.wav,../User/Stimuli/video/1072_IEO_HAP_MD-converted.mp4,../User/Stimuli/1072_TSI_HAP_XX.wav,1072,Happiness,Happiness,congruent,
1018_IEO_HAP_HI-converted.mp4,1018_TSI_HAP_XX.wav,../User/Stimuli/video/1018_IEO_HAP_HI-converted.mp4,../User/Stimuli/1018_TSI_HAP_XX.wav,1018,Happiness,Happiness,congruent,
"
1018_IEO_SAD_MD-converted.mp4","
1018_TSI_SAD_XX.wav","../User/Stimuli/video/
1018_IEO_SAD_MD-converted.mp4","../User/Stimuli/
1018_TSI_SAD_XX.wav",1018,Sad,Sad,congruent,
"
1029_IEO_SAD_MD-converted.mp4","
1029_TSI_SAD_XX.wav","../User/Stimuli/video/
1029_IEO_SAD_MD-converted.mp4","../User/Stimuli/
1029_TSI_SAD_XX.wav",1029,Sad,Sad,congruent,
1003_IEO_SAD_MD-converted.mp4,1003_TSI_SAD_XX.wav,../User/Stimuli/video/1003_IEO_SAD_MD-converted.mp4,../User/Stimuli/1003_TSI_SAD_XX.wav,1003,Sad,Sad,congruent,
1072_IEO_SAD_MD-converted.mp4,1072_TSI_SAD_XX.wav,../User/Stimuli/video/1072_IEO_SAD_MD-converted.mp4,../User/Stimuli/1072_TSI_SAD_XX.wav,1072,Sad,Sad,congruent,
1032_IEO_ANG_MD-converted.mp4,1032_TSI_ANG_XX.wav,../User/Stimuli/video/1032_IEO_ANG_MD-converted.mp4,../User/Stimuli/1032_TSI_ANG_XX.wav,1032,Anger,Anger,congruent,
1014_IEO_ANG_MD-converted.mp4,1014_TSI_ANG_XX.wav,../User/Stimuli/video/1014_IEO_ANG_MD-converted.mp4,../User/Stimuli/1014_TSI_ANG_XX.wav,1014,Anger,Anger,congruent,
1045_IEO_ANG_MD-converted.mp4,1045_TSI_ANG_XX.wav,../User/Stimuli/video/1045_IEO_ANG_MD-converted.mp4,../User/Stimuli/1045_TSI_ANG_XX.wav,1045,Anger,Anger,congruent,
1031_IEO_ANG_MD-converted.mp4,1031_TSI_ANG_XX.wav,../User/Stimuli/video/1031_IEO_ANG_MD-converted.mp4,../User/Stimuli/1031_TSI_ANG_XX.wav,1031,Anger,Anger,congruent,
1031_IEO_DIS_HI-converted.mp4,1031_TSI_DIS_XX.wav,../User/Stimuli/video/1031_IEO_DIS_HI-converted.mp4,../User/Stimuli/1031_TSI_DIS_XX.wav,1031,Disgust,Disgust,congruent,
"
1032_IEO_DIS_HI-converted.mp4","
1032_TSI_DIS_XX.wav","../User/Stimuli/video/
1032_IEO_DIS_HI-converted.mp4","../User/Stimuli/
1032_TSI_DIS_XX.wav",1032,Disgust,Disgust,congruent,
1014_IEO_DIS_MD-converted.mp4,1014_TSI_DIS_XX.wav,../User/Stimuli/video/1014_IEO_DIS_MD-converted.mp4,../User/Stimuli/1014_TSI_DIS_XX.wav,1014,Disgust,Disgust,congruent,
1045_IEO_DIS_MD-converted.mp4,1045_TSI_DIS_XX.wav,../User/Stimuli/video/1045_IEO_DIS_MD-converted.mp4,../User/Stimuli/1045_TSI_DIS_XX.wav,1045,Disgust,Disgust,congruent,
1045_IEO_FEA_MD-converted.mp4,1045_TSI_FEA_XX.wav,../User/Stimuli/video/1045_IEO_FEA_MD-converted.mp4,../User/Stimuli/1045_TSI_FEA_XX.wav,1045,Fear,Fear,congruent,
1031_IEO_FEA_HI-converted.mp4,1031_TSI_FEA_XX.wav,../User/Stimuli/video/1031_IEO_FEA_HI-converted.mp4,../User/Stimuli/1031_TSI_FEA_XX.wav,1031,Fear,Fear,congruent,
1032_IEO_FEA_HI-converted.mp4,1032_TSI_FEA_XX.wav,../User/Stimuli/video/1032_IEO_FEA_HI-converted.mp4,../User/Stimuli/1032_TSI_FEA_XX.wav,1032,Fear,Fear,congruent,
1014_IEO_FEA_HI-converted.mp4,1014_TSI_FEA_XX.wav,../User/Stimuli/video/1014_IEO_FEA_HI-converted.mp4,../User/Stimuli/1014_TSI_FEA_XX.wav,1014,Fear,Fear,congruent,
1014_IEO_HAP_MD-converted.mp4,1014_TSI_HAP_XX.wav,../User/Stimuli/video/1014_IEO_HAP_MD-converted.mp4,../User/Stimuli/1014_TSI_HAP_XX.wav,1014,Happiness,Happiness,congruent,
1045_IEO_HAP_HI-converted.mp4,1045_TSI_HAP_XX.wav,../User/Stimuli/video/1045_IEO_HAP_HI-converted.mp4,../User/Stimuli/1045_TSI_HAP_XX.wav,1045,Happiness,Happiness,congruent,
1031_IEO_HAP_HI-converted.mp4,1031_TSI_HAP_XX.wav,../User/Stimuli/video/1031_IEO_HAP_HI-converted.mp4,../User/Stimuli/1031_TSI_HAP_XX.wav,1031,Happiness,Happiness,congruent,
1032_IEO_HAP_MD-converted.mp4,1032_TSI_HAP_XX.wav,../User/Stimuli/video/1032_IEO_HAP_MD-converted.mp4,../User/Stimuli/1032_TSI_HAP_XX.wav,1032,Happiness,Happiness,congruent,
1032_IEO_SAD_MD-converted.mp4,1032_TSI_SAD_XX.wav,../User/Stimuli/video/1032_IEO_SAD_MD-converted.mp4,../User/Stimuli/1032_TSI_SAD_XX.wav,1032,Sad,Sad,congruent,
1014_IEO_SAD_MD-converted.mp4,1014_TSI_SAD_XX.wav,../User/Stimuli/video/1014_IEO_SAD_MD-converted.mp4,../User/Stimuli/1014_TSI_SAD_XX.wav,1014,Sad,Sad,congruent,
1045_IEO_SAD_MD-converted.mp4,1045_TSI_SAD_XX.wav,../User/Stimuli/video/1045_IEO_SAD_MD-converted.mp4,../User/Stimuli/1045_TSI_SAD_XX.wav,1045,Sad,Sad,congruent,
1031_IEO_SAD_HI-converted.mp4,1031_TSI_SAD_XX.wav,../User/Stimuli/video/1031_IEO_SAD_HI-converted.mp4,../User/Stimuli/1031_TSI_SAD_XX.wav,1031,Sad,Sad,congruent,
,,,,,,,,
